,Universités/Instituts Supérieurs,Catégories,Adresses,Départments,Villes,Names,Latitudes,Longitudes,Locations
100,Centre de Formation des Enseignants du Fondamental (CFEF),Public,"Martissant 1, à côté de lÉglise Sainte Bernadette, Port-au-Prince",Ouest,Port-au-Prince,,,,
101,Ecole Nationale Supérieure de Technologie (ENST),Public,"81bis, Avenue Lamartinière Bois Verna, Port-au-Prince",Ouest,Port-au-Prince,,,,
102,Ecole Nationale des Arts (ENARTS),Public,Rue Mgr Guilloux Port-au-Prince ,Ouest,Port-au-Prince,,,,
103,Faculté de Droit et des Sciences Economiques (FDSE),Public,"103, Rue Oswald Durand, Port-au-Prince, Haïti",Ouest,Port-au-Prince,,,,
104,Faculté dAgronomie et de Médecine Vétérinaire (FAMV),Public,"Route Nationale numéro 1, Damien, Port-au-Prince",Ouest,Croix-des-missions,,,,
105,Faculté des Sciences (FDS),Public,"270, Angle des Rues Monseigneur Guilloux et Joseph Janvier, Port-au-Prince",Ouest,Port-au-Prince,,,,
106,Faculté Linguistique Appliquée (FLA),Public,"38, Rue Dufort, Port-au-Prince",Ouest,Port-au-Prince,,,,
107,Faculté dEthnologie (FE),Public,"10, Rue Magloire Ambroise, Port Prince",Ouest,Port-au-Prince,,,,
108,Faculté dOdontologie (FO),Public,"Rue Oswald Durand # 87, Port-au-Prince ",Ouest,Port-au-Prince,,,,
109,Faculté de Médecine et de Pharmacie (FMP),Public,"Rue Oswald Durand # 89, Port-au-Prince ",Ouest,Port-au-Prince,,,,
110,Institut National dAdministration de Gestion et des Hautes Etudes Internationales (INAGHEI),Public,"135 Ave Christophe, Port-au-Prince",Ouest,Port-au-Prince,,,,
111,Faculté des Sciences Humaines (FASCH),Public,"Impasse le Hasard, Avenue Christophe, Port-au-Prince",Ouest,Port-au-Prince,,,,
112,Ecole Normale Supérieure (ENS),Public," Rue Monseigneur Guilloux, Port-au-Prince, Bas Peu de Chose",Ouest,Port-au-prince,,,,
113,"Ecole de Droit, des Sciences Economiques et de Gestion du Cap-Haïtien",Public,"Rue 22, 23 JK, Cap-Haïtien",Nord,Cap-Haïtien,,,,
114,Ecole de Droit et des Sciences Economiques des Cayes,Public,"171, Avenue des Quatre Chemins, Cayes",Sud,Cayes,,,,
115,Ecole de Droit de Jacmel,Public,"Route du Cimetière, habitation Wolf",Sud-Est,Jacmel,,,,
116,Ecole de Droit de Hinche,Public,"5, Rue Simon Sylvestre, Villa Créole, Hinche",Centre,Hinche,,,,
117,Ecole de Droit de Fort-liberté,Public,"Rue du Quai, Fort-Liberté",Nord-Est,Fort-Liberté,,,,
118,Ecole de Droit et des Sciences Economiques de Port-de-Paix,Public,"33, rue Bénito Sylvain, Port-de-Paix",Nord-Ouest,Port-de-Paix,,,,
119,Ecole Nationale des Infirmières de Port-au-Prince (ENIP),Public,89 Rue Oswald Durant  Port-au-Prince Haïti,Ouest,Port-au-prince,,,,
120,Ecole Nationale des Infirmières des Cayes,Public,"Rue Monseigneur Morice, Cayes, Haïti",Sud,Cayes,,,,
121,Ecole Nationale des Infirmières de Jérémie,Public,"38, Rue Brouette en face de lévêché de Jérémie, HT 7110, Jérémie Haïti.",Grande-Anse,Jeremie,,,,
122,Institut dÉtudes et de Recherches Africaines/Institut Supérieur dÉtudes et de Recherches en Sciences Sociales (IERAH/ISERSS),Public,"92, La Fleur du Chêne et angle Ave Christophe",Ouest,Port-au-prince,,,,
